category	subcategory	disease	term
A15	A15	TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A150	TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO	Canonical
A15	A151	TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO	Canonical
A15	A152	TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE	Canonical
A15	A153	TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS	Canonical
A15	A154	TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A155	TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A156	PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A157	TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A158	OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A15	A159	TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	Canonical
A16	A16	TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLÓGICA O HISTOLÓGICAMENTE	Canonical
A16	A160	TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS	Canonical
A16	A161	TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO	Canonical
A16	A162	TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A16	A163	TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A16	A164	TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A16	A165	PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A16	A167	TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A16	A168	OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN	Canonical
A16	A169	TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	Canonical
A17	A17	TUBERCULOSIS DEL SISTEMA NERVIOSO	Canonical
A17	A170	MENINGITIS TUBERCULOSA	Canonical
A17	A171	TUBERCULOMA MENÍNGEO	Canonical
A17	A178	OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO	Canonical
A17	A179	TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA	Canonical
A18	A18	TUBERCULOSIS DE OTROS ÓRGANOS	Canonical
A18	A180	TUBERCULOSIS DE HUESOS Y ARTICULACIONES	Canonical
A18	A181	TUBERCULOSIS DEL APARATO GENITOURINARIO	Canonical
A18	A182	LINFADENOPATÍA PERIFÉRICA TUBERCULOSA	Canonical
A18	A183	TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTÉRICOS	Canonical
A18	A184	TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO	Canonical
A18	A185	TUBERCULOSIS DEL OJO	Canonical
A18	A186	TUBERCULOSIS DEL OÍDO	Canonical
A18	A187	TUBERCULOSIS DE GLÁNDULAS SUPRARRENALES	Canonical
A18	A188	TUBERCULOSIS DE OTROS ÓRGANOS ESPECIFICADOS	Canonical
A19	A19	TUBERCULOSIS MILIAR	Canonical
A19	A190	TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO	Canonical
A19	A191	TUBERCULOSIS MILIAR AGUDA DE SITIOS MÚLTIPLES	Canonical
A19	A192	TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA	Canonical
A19	A198	OTRAS TUBERCULOSIS MILIARES	Canonical
A19	A199	TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACIÓN	Canonical
A20	A20	PESTE	Canonical
A20	A200	PESTE BUBÓNICA	Canonical
A20	A201	PESTE CELULOCUTÁNEA	Canonical
A20	A202	PESTE NEUMÓNICA	Canonical
A20	A203	MENINGITIS POR PESTE	Canonical
A20	A207	PESTE SEPTICÉMICA	Canonical
A20	A208	OTRAS FORMAS DE PESTE	Canonical
A20	A209	PESTE, NO ESPECIFICADA	Canonical
A21	A21	TULAREMIA	Canonical
A21	A210	TULAREMIA ULCEROGLANDULAR	Canonical
A21	A211	TULAREMIA OCULOGLANDULAR	Canonical
A21	A212	TULAREMIA PULMONAR	Canonical
A21	A213	TULAREMIA GASTROINTESTINAL	Canonical
A21	A217	TULAREMIA GENERALIZADA	Canonical
A21	A218	OTRAS FORMAS DE TULAREMIA	Canonical
A21	A219	TULAREMIA, NO ESPECIFICADA	Canonical
A22	A22	CARBUNCO [ÁNTRAX]	Canonical
A22	A220	CARBUNCO CUTÁNEO	Canonical
A22	A221	CARBUNCO PULMONAR	Canonical
A22	A222	CARBUNCO GASTROINTESTINAL	Canonical
A22	A227	CARBUNCO SÉPTICO	Canonical
A22	A228	OTRAS FORMAS DE CARBUNCO	Canonical
A22	A229	CARBUNCO, NO ESPECIFICADO	Canonical
A23	A23	BRUCELOSIS	Canonical
A23	A230	BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS	Canonical
A23	A231	BRUCELOSIS DEBIDA A BRUCELLA ABORTUS	Canonical
A23	A232	BRUCELOSIS DEBIDA A BRUCELLA SUIS	Canonical
A23	A233	BRUCELOSIS DEBIDA A BRUCELLA CANIS	Canonical
A23	A238	OTRAS BRUCELOSIS	Canonical
A23	A239	BRUCELOSIS, NO ESPECIFICADA	Canonical
A24	A24	MUERMO Y MELIOIDOSIS	Canonical
A24	A240	MUERMO	Canonical
A24	A241	MELIOIDOSIS AGUDA Y FULMINANTE	Canonical
A24	A242	MELIOIDOSIS SUBAGUDA Y CRÓNICA	Canonical
A24	A243	OTRAS MELIOIDOSIS	Canonical
A24	A244	MELIOIDOSIS, NO ESPECIFICADA	Canonical
A25	A25	FIEBRE POR MORDEDURA DE RATA	Canonical
A25	A250	ESPIRILOSIS	Canonical
A25	A251	ESTREPTOBACILOSIS	Canonical
A25	A259	FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA	Canonical
A26	A26	ERISIPELOIDE	Canonical
A26	A260	ERISIPELOIDE CUTÁNEO	Canonical
A26	A267	SEPSIS POR ERYSIPELOTHRIX	Canonical
A26	A268	OTRAS FORMAS DE ERISIPELOIDE	Canonical
A26	A269	ERISIPELOIDE, NO ESPECIFICADA	Canonical
A27	A27	LEPTOSPIROSIS	Canonical
A27	A270	LEPTOSPIROSIS ICTEROHEMORRÁGICA	Canonical
A27	A278	OTRAS FORMAS DE LEPTOSPIROSIS	Canonical
A27	A279	LEPTOSPIROSIS, NO ESPECIFICADA	Canonical
A28	A28	OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE	Canonical
A28	A280	PASTEURELOSIS	Canonical
A28	A281	ENFERMEDAD POR RASGUÑO DE GATO	Canonical
A28	A282	YERSINIOSIS EXTRAINTESTINAL	Canonical
A28	A288	OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE	Canonical
A28	A289	ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN	Canonical
A30	A30	LEPRA [ENFERMEDAD DE HANSEN]	Canonical
A30	A300	LEPRA INDETERMINADA	Canonical
A30	A301	LEPRA TUBERCULOIDE	Canonical
A30	A302	LEPRA TUBERCULOIDE LIMÍTROFE	Canonical
A30	A303	LEPRA LIMÍTROFE	Canonical
A30	A304	LEPRA LEPROMATOSA LIMÍTROFE	Canonical
A30	A305	LEPRA LEPROMATOSA	Canonical
A30	A308	OTRAS FORMAS DE LEPRA	Canonical
A30	A309	LEPRA, NO ESPECIFICADA	Canonical
A31	A31	INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS	Canonical
A31	A310	INFECCIONES POR MICOBACTERIAS PULMONARES	Canonical
A31	A311	INFECCIÓN CUTÁNEA POR MICOBACTERIAS	Canonical
A31	A318	OTRAS INFECCIONES POR MICOBACTERIAS	Canonical
A31	A319	INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA	Canonical
A32	A32	LISTERIOSIS	Canonical
A32	A320	LISTERIOSIS CUTÁNEA	Canonical
A32	A321	MENINGITIS Y MENINGOENCEFALITIS LISTERIANA	Canonical
A32	A327	SEPSIS LISTERIANA	Canonical
A32	A328	OTRAS FORMAS DE LISTERIOSIS	Canonical
A32	A329	LISTERIOSIS, NO ESPECIFICADA	Canonical
A33	A33X	TÉTANOS NEONATAL	Canonical
A34	A34X	TÉTANOS OBSTÉTRICO	Canonical
A35	A35X	OTROS TÉTANOS	Canonical
A36	A36	DIFTERIA	Canonical
A36	A360	DIFTERIA FARÍNGEA	Canonical
A36	A361	DIFTERIA NASOFARÍNGEA	Canonical
A36	A362	DIFTERIA LARÍNGEA	Canonical
A36	A363	DIFTERIA CUTÁNEA	Canonical
A36	A368	OTRAS DIFTERIAS	Canonical
A36	A369	DIFTERIA, NO ESPECIFICADA	Canonical
A37	A37	TOS FERINA [TOS CONVULSIVA]	Canonical
A37	A370	TOS FERINA DEBIDA A BORDETELLA PERTUSSIS	Canonical
A37	A371	TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS	Canonical
A37	A378	TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA	Canonical
A37	A379	TOS FERINA, NO ESPECIFICADA	Canonical
A38	A38X	ESCARLATINA	Canonical
A39	A39	ENFERMEDAD MENINGOCÓCICA	Canonical
A39	A390	MENINGITIS MENINGOCÓCICA	Canonical
A39	A391	SÍNDROME DE WATERHOUSE-FRIDERICHSEN	Canonical
A39	A392	MENINGOCOCEMIA AGUDA	Canonical
A39	A393	MENINGOCOCEMIA CRÓNICA	Canonical
A39	A394	MENINGOCOCEMIA, NO ESPECIFICADA	Canonical
A39	A395	ENFERMEDAD CARDÍACA DEBIDA A MENINGOCOCO	Canonical
A39	A398	OTRAS FORMAS DE ENFERMEDAD MENINGOCÓCICA	Canonical
A39	A399	ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA	Canonical
A40	A40	SEPSIS ESTREPTOCÓCICA	Canonical
A40	A400	SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A	Canonical
A40	A401	SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B	Canonical
A40	A402	SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO	Canonical
A40	A403	SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE	Canonical
A40	A408	OTRAS SEPSIS ESTREPTOCÓCICAS	Canonical
A40	A409	SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA	Canonical
A41	A41	OTRAS SEPSIS	Canonical
A41	A410	SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS	Canonical
A41	A411	SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO	Canonical
A41	A412	SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO	Canonical
A41	A413	SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE	Canonical
A41	A414	SEPSIS DEBIDA A ANAEROBIOS	Canonical
A41	A415	SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS	Canonical
A41	A418	OTRAS SEPSIS ESPECIFICADAS	Canonical
A41	A419	SEPSIS, NO ESPECIFICADA	Canonical
A42	A42	ACTINOMICOSIS	Canonical
A42	A420	ACTINOMICOSIS PULMONAR	Canonical
A42	A421	ACTINOMICOSIS ABDOMINAL	Canonical
A42	A422	ACTINOMICOSIS CERVICOFACIAL	Canonical
A42	A427	SEPSIS ACTINOMICÓTICA	Canonical
A42	A428	OTRAS FORMAS DE ACTINOMICOSIS	Canonical
A42	A429	ACTINOMICOSIS, SIN OTRA ESPECIFICACIÓN	Canonical
A43	A43	NOCARDIOSIS	Canonical
A43	A430	NOCARDIOSIS PULMONAR	Canonical
A43	A431	NOCARDIOSIS CUTÁNEA	Canonical
A43	A438	OTRAS FORMAS DE NOCARDIOSIS	Canonical
A43	A439	NOCARDIOSIS, NO ESPECIFICADA	Canonical
A44	A44	BARTONELOSIS	Canonical
A44	A440	BARTONELOSIS SISTÉMICA	Canonical
A44	A441	BARTONELOSIS CUTÁNEA Y MUCOCUTÁNEA	Canonical
A44	A448	OTRAS FORMAS DE BARTONELOSIS	Canonical
A44	A449	BARTONELOSIS, NO ESPECIFICADA	Canonical
A46	A46X	ERISIPELA	Canonical
A48	A48	OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE	Canonical
A48	A480	GANGRENA GASEOSA	Canonical
A48	A481	ENFERMEDAD DE LOS LEGIONARIOS	Canonical
A48	A482	ENFERMEDAD DE LOS LEGIONARIOS NO NEUMÓNICA (FIEBRE DE PONTIAC)	Canonical
A48	A483	SÍNDROME DEL CHOQUE TÓXICO	Canonical
A48	A484	FIEBRE PURPÚRICA BRASILEÑA	Canonical
A48	A488	OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS	Canonical
A49	A49	INFECCIÓN BACTERIANA DE SITIO NO ESPECIFICADO	Canonical
A49	A490	INFECCIÓN ESTAFILOCÓCICA, SITIO NO ESPECIFICADO	Canonical
A49	A491	INFECCIÓN ESTREPTOCÓCICA Y ENTEROCÓCICA DE SITIO NO ESPECIFICADO	Canonical
A49	A492	INFECCIÓN POR HAEMOPHILUS INFLUENZAE, SITIO NO ESPECIFICADO	Canonical
A49	A493	INFECCIÓN POR MICOPLASMA, SITIO NO ESPECIFICADO	Canonical
A49	A498	OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO	Canonical
A49	A499	INFECCIÓN BACTERIANA, NO ESPECIFICADA	Canonical
A50	A50	SÍFILIS CONGÉNITA	Canonical
A50	A500	SÍFILIS CONGÉNITA PRECOZ, SINTOMÁTICA	Canonical
A50	A501	SÍFILIS CONGÉNITA PRECOZ, LATENTE	Canonical
A50	A502	SÍFILIS CONGÉNITA PRECOZ, SIN OTRA ESPECIFICACIÓN	Canonical
A50	A503	OCULOPATÍA SIFILÍTICA CONGÉNITA TARDÍA	Canonical
A50	A504	NEUROSÍFILIS CONGÉNITA TARDÍA [NEUROSÍFILIS JUVENIL]	Canonical
A50	A505	OTRAS FORMAS DE SÍFILIS CONGÉNITA TARDÍA, SINTOMÁTICA	Canonical
A50	A506	SÍFILIS CONGÉNITA TARDÍA, LATENTE	Canonical
A50	A507	SÍFILIS CONGÉNITA TARDÍA, SIN OTRA ESPECIFICACIÓN	Canonical
A50	A509	SÍFILIS CONGÉNITA, SIN OTRA ESPECIFICACIÓN	Canonical
A51	A51	SÍFILIS PRECOZ	Canonical
A51	A510	SÍFILIS GENITAL PRIMARIA	Canonical
A51	A511	SÍFILIS PRIMARIA ANAL	Canonical
A51	A512	SÍFILIS PRIMARIA EN OTROS SITIOS	Canonical
A51	A513	SÍFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS	Canonical
A51	A514	OTRAS SÍFILIS SECUNDARIAS	Canonical
A51	A515	SÍFILIS PRECOZ, LATENTE	Canonical
A51	A519	SÍFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN	Canonical
A52	A52	SÍFILIS TARDÍA	Canonical
A52	A520	SÍFILIS CARDIOVASCULAR	Canonical
A52	A521	NEUROSÍFILIS SINTOMÁTICA	Canonical
A52	A522	NEUROSÍFILIS ASINTOMÁTICA	Canonical
A52	A523	NEUROSÍFILIS NO ESPECIFICADA	Canonical
A52	A527	OTRAS SÍFILIS TARDÍAS SINTOMÁTICAS	Canonical
A52	A528	SÍFILIS TARDÍA, LATENTE	Canonical
A52	A529	SÍFILIS TARDÍA, NO ESPECIFICADA	Canonical
A53	A53	OTRAS SÍFILIS Y LAS NO ESPECIFICADAS	Canonical
A53	A530	SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA	Canonical
A53	A539	SÍFILIS, NO ESPECIFICADA	Canonical
A54	A54	INFECCIÓN GONOCÓCICA	Canonical
A54	A540	INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLÁNDULA ACCESORIA	Canonical
A54	A541	INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLÁNDULAS ACCESORIAS	Canonical
A54	A542	PELVIPERITONITIS GONOCÓCICA Y OTRAS INFECCIONES GONOCÓCICAS GENITOURINARIAS	Canonical
A54	A543	INFECCIÓN GONOCÓCICA DEL OJO	Canonical
A54	A544	INFECCIÓN GONOCÓCICA DEL SISTEMA OSTEOMUSCULAR	Canonical
A54	A545	FARINGITIS GONOCÓCICA	Canonical
A54	A546	INFECCIÓN GONOCÓCICA DEL ANO Y DEL RECTO	Canonical
A54	A548	OTRAS INFECCIONES GONOCÓCICAS	Canonical
A54	A549	INFECCIÓN GONOCÓCICA, NO ESPECIFICADA	Canonical
A55	A55X	LINFOGRANULOMA (VENÉREO) POR CLAMIDIAS	Canonical
A56	A56	OTRAS ENFERMEDADES DE TRANSMISIÓN SEXUAL DEBIDAS A CLAMIDIAS	Canonical
A56	A560	INFECCIÓN DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS	Canonical
A56	A561	INFECCIÓN DEL PELVIPERITONEO Y OTROS ÓRGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS	Canonical
A56	A562	INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACIÓN	Canonical
A56	A563	INFECCIÓN DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS	Canonical
A56	A564	INFECCIÓN DE FARINGE DEBIDA A CLAMIDIAS	Canonical
A56	A568	INFECCIÓN DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS	Canonical
A57	A57X	CHANCRO BLANDO	Canonical
A58	A58X	GRANULOMA INGUINAL	Canonical
A59	A59	TRICOMONIASIS	Canonical
A59	A590	TRICOMONIASIS UROGENITAL	Canonical
A59	A598	TRICOMONIASIS DE OTROS SITOS	Canonical
A59	A599	TRICOMONIASIS, NO ESPECIFICADA	Canonical
A60	A60	INFECCIÓN ANOGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]	Canonical
A60	A600	INFECCIÓN DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]	Canonical
A60	A601	INFECCIÓN DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE	Canonical
A60	A609	INFECCIÓN ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACIÓN	Canonical
A63	A63	OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRA PARTE	Canonical
A63	A630	VERRUGAS (VENÉREAS) ANOGENITALES	Canonical
A63	A638	OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS	Canonical
A64	A64X	ENFERMEDAD DE TRANSMISIÓN SEXUAL NO ESPECIFICADA	Canonical
A65	A65X	SÍFILIS NO VENÉREA	Canonical
A66	A66	FRAMBESIA	Canonical
A66	A660	LESIONES INICIALES DE FRAMBESIA	Canonical
A66	A661	LESIONES PAPILOMATOSAS MÚLTIPLES Y FRAMBESIA CON PASO DE CANGREJO	Canonical
A66	A662	OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA	Canonical
A66	A663	HIPERQUERATOSIS DE FRAMBESIA	Canonical
A66	A664	GOMA Y ÚLCERAS DE FRAMBESIA	Canonical
A66	A665	GANGOSA	Canonical
A66	A666	LESIONES FRAMBÉSICAS DE LOS HUESOS Y DE LAS ARTICULACIONES	Canonical
A66	A667	OTRAS MANIFESTACIONES DE FRAMBESIA	Canonical
A66	A668	FRAMBESIA LATENTE	Canonical
A66	A669	FRAMBESIA, NO ESPECIFICADA	Canonical
A67	A67	PINTA [CARATE]	Canonical
A67	A670	LESIONES PRIMARIAS DE LA PINTA	Canonical
A67	A671	LESIONES INTERMEDIAS DE LA PINTA	Canonical
A67	A672	LESIONES TARDÍAS DE LA PINTA	Canonical
A67	A673	LESIONES MIXTAS DE LA PINTA	Canonical
A67	A679	PINTA, NO ESPECIFICADA	Canonical
A68	A68	FIEBRES RECURRENTES	Canonical
A68	A680	FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS	Canonical
A68	A681	FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS	Canonical
A68	A689	FIEBRE RECURRENTE, NO ESPECIFICADA	Canonical
A69	A69	OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS	Canonical
