category	subcategory	disease	term
A07	A070	Disentería balantídica	Inclusion
A07	A071	Giardiasis [lambliasis]	Canonical
A07	A071	Infección por Giardia lamblia	Inclusion
A07	A072	Criptosporidiosis	Canonical
A07	A072	Infección por Criptosporidium	Inclusion
A07	A073	Isosporiasis	Canonical
A07	A073	Coccidiosis intestinal	Inclusion
A07	A073	Infección debida a Isospora belli e Isospora hominis	Inclusion
A07	A073	Isosporosis	Inclusion
A07	A078	Otras enfermedades intestinales especificadas debidas a protozoarios	Canonical
A07	A078	Sarcocistosis	Inclusion
A07	A078	Sarcosporidiosis	Inclusion
A07	A078	Tricomoniasis intestinal	Inclusion
A07	A079	Enfermedad intestinal debida a protozoarios, no especificada	Canonical
A07	A079	Diarrea por flagelados	Inclusion
A07	A079	Colitis por protozoarios	Inclusion
A07	A079	Diarrea por protozoarios	Inclusion
A07	A079	Disentería por protozoarios	Inclusion
A08	A080	Enteritis debida a rotavirus	Canonical
A08	A081	Gastroenteropatía aguda debida al agente de Norwalk	Canonical
A08	A081	Enteritis debida a virus pequeño de estructura redonda	Inclusion
A08	A082	Enteritis debida a adenovirus	Canonical
A08	A083	Otras enteritis virales	Canonical
A08	A084	Infección intestinal viral, sin otra especificación	Canonical
A08	A084	Enteritis viral SAI	Inclusion
A08	A084	Gastroenteritis viral SAI	Inclusion
A08	A084	Gastroenteropatía viral SAI	Inclusion
A08	A085	Otras infecciones intestinales especificadas	Canonical
A15	A150	Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo	Canonical
A15	A150	Bronquiectasia tuberculosa confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo	Inclusion
A15	A150	Fibrosis de pulmón tuberculosa confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo	Inclusion
A15	A150	Neumonía tuberculosa confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo	Inclusion
A15	A150	Neumotórax tuberculosa confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo	Inclusion
A15	A151	Tuberculosis del pulmón, confirmada únicamente por cultivo	Canonical
A15	A152	Tuberculosis del pulmón, confirmada histológicamente	Canonical
A15	A153	Tuberculosis del pulmón, confirmada por medios no especificados	Canonical
A15	A154	Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente	Canonical
A15	A154	Tuberculosis de ganglios linfáticos  hiliares intratorácicos, confirmada bacteriológica e histológicamente	Inclusion
A15	A154	Tuberculosis de ganglios linfáticos mediastinales intratorácicos, confirmada bacteriológica e histológicamente	Inclusion
A15	A154	Tuberculosis de ganglios linfáticos traqueobronquiales intratorácicos, confirmada bacteriológica e histológicamente	Inclusion
A15	A155	Tuberculosis de laringe, tráquea y bronquios, confirmada bacteriológica e histológicamente	Canonical
A15	A155	Tuberculosis de bronquios, confirmada bacteriológica e histológicamente	Inclusion
A15	A155	Tuberculosis de glotis, confirmada bacteriológica e histológicamente	Inclusion
A15	A155	Tuberculosis de laringe, confirmada bacteriológica e histológicamente	Inclusion
A15	A155	Tuberculosis de tráquea, confirmada bacteriológica e histológicamente	Inclusion
A15	A156	Pleuresía tuberculosa, confirmada bacteriológica e histológicamente	Canonical
A15	A156	Empiema tuberculoso, confirmado bacteriológica e histológicamente	Inclusion
A15	A156	Tuberculosis de la pleura, confirmada bacteriológica e histológicamente	Inclusion
A15	A157	Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente	Canonical
A15	A158	Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente	Canonical
A15	A158	Tuberculosis mediastinal, confirmada bacteriológica e histológicamente	Inclusion
A15	A158	Tuberculosis de nariz, confirmada bacteriológica e histológicamente	Inclusion
A15	A158	Tuberculosis nasofaríngea, confirmada bacteriológica e histológicamente	Inclusion
A15	A158	Tuberculosis senos paranasales [cualquier seno], confirmada bacteriológica e histológicamente	Inclusion
A15	A159	Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente	Canonical
A16	A160	Tuberculosis del pulmón, con examen bacteriológico e histológico negativos	Canonical
A16	A160	Bronquiectasia tuberculosa, bacteriológica e histológicamente negativas	Inclusion
A16	A160	Fibrosis de pulmón tuberculosa, bacteriológica e histológicamente negativas	Inclusion
A16	A160	Neumonía tuberculosa, bacteriológica e histológicamente negativas	Inclusion
A16	A160	Neumotórax tuberculoso, bacteriológica e histológicamente negativas	Inclusion
A16	A161	Tuberculosis de pulmón, sin examen bacteriológico e histológico	Canonical
A16	A161	Bronquiectasia tuberculosa sin examen bacteriológico e histológico	Inclusion
A16	A161	Fibrosis de pulmón tuberculosa sin examen bacteriológico e histológico	Inclusion
A16	A161	Neumonía tuberculosa sin examen bacteriológico e histológico	Inclusion
A16	A161	Neumotórax tuberculoso sin examen bacteriológico e histológico	Inclusion
A16	A162	Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A162	Bronquiectasia tuberculosa SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A162	Fibrosis de pulmón tuberculosa SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A162	Neumonía tuberculosa SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A162	Neumotórax tuberculoso SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A162	Bronquiectasia tuberculosa SAI	Inclusion
A16	A162	Fibrosis de pulmón tuberculosa SAI	Inclusion
A16	A162	Neumonía tuberculosa SAI	Inclusion
A16	A162	Neumotórax tuberculoso SAI	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A163	Tuberculosis de ganglios linfáticos hiliares SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos intratorácicos SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos mediastinales SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos traqueobronquiales SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos hiliares SAI	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos intratorácicos SAI	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos mediastinales SAI	Inclusion
A16	A163	Tuberculosis de ganglios linfáticos traqueobronquiales SAI	Inclusion
A16	A164	Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A164	Tuberculosis de bronquios SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A164	Tuberculosis de glotis SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A164	Tuberculosis de laringe SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A164	Tuberculosis de tráquea SAI, sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A165	Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A167	Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A168	Otras tuberculosis respiratorias, sin mención de confirmación	Canonical
A16	A168	Tuberculosis mediastinal, SAI	Inclusion
A16	A168	Tuberculosis de nariz, SAI	Inclusion
A16	A168	Tuberculosis nasofaríngea, SAI	Inclusion
A16	A168	Tuberculosis senos paranasales [cualquier seno], SAI	Inclusion
A16	A168	Tuberculosis mediastinal, SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A168	Tuberculosis de nariz, SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A168	Tuberculosis nasofaríngea, SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A168	Tuberculosis senos paranasales [cualquier seno], SAI sin mención de confirmación bacteriológica o histológica	Inclusion
A16	A169	Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica	Canonical
A16	A169	Tuberculosis SAI	Inclusion
A16	A169	Tuberculosis respiratoria SAI	Inclusion
A17	A170	Meningitis tuberculosa	Canonical
A17	A170	Leptomeningitis tuberculosa	Inclusion
A17	A170	Tuberculosis de meninges (cerebral) (espinal)	Inclusion
A17	A171	Tuberculoma meníngeo	Canonical
A17	A171	Tuberculoma de las meninges	Inclusion
A17	A178	Otras tuberculosis del sistema nervioso	Canonical
A17	A178	Absceso cerebral tuberculoso  	Inclusion
A17	A178	Meningoencefalitis tuberculosa 	Inclusion
A17	A178	Mielitis tuberculosa	Inclusion
A17	A178	Polineuropatía tuberculosa	Inclusion
A17	A178	Tuberculoma del encéfalo	Inclusion
A17	A178	Tuberculosis de la médula espinal 	Inclusion
A17	A178	Tuberculosis del encéfalo	Inclusion
A17	A178	Tuberculoma de la médula espinal 	Inclusion
A17	A179	Tuberculosis del sistema nervioso, no especificada	Canonical
A18	A180	Tuberculosis de cadera	Inclusion
A18	A180	Tuberculosis de columna vertebral	Inclusion
A18	A180	Tuberculosis de rodilla	Inclusion
A18	A180	Artritis tuberculosa	Inclusion
A18	A180	Mastoiditis tuberculosa	Inclusion
A18	A180	Necrosis de hueso tuberculosa	Inclusion
A18	A180	Osteítis tuberculosa	Inclusion
A18	A180	Osteomielitis tuberculosa	Inclusion
A18	A180	Sinovitis tuberculosa	Inclusion
A18	A180	Tenosinovitis tuberculosa	Inclusion
A18	A180	Tuberculosis de huesos y articulaciones	Canonical
A18	A181	Tuberculosis del aparato genitourinario	Canonical
A18	A181	Enfermedad inflamatoria pélvica femenina tuberculosa	Inclusion
A18	A181	Tuberculosis del cuello del útero	Inclusion
A18	A181	Tuberculosis de órganos genitales masculinos	Inclusion
A18	A181	Tuberculosis de riñón	Inclusion
A18	A181	Tuberculosis de uréter	Inclusion
A18	A181	Tuberculosis de vejiga	Inclusion
A18	A182	Linfadenopatía periférica tuberculosa	Canonical
A18	A182	Adenitis tuberculosa	Inclusion
A18	A183	Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos	Canonical
A18	A183	Tuberculosis de ano y recto	Inclusion
A18	A183	Tuberculosis de intestino 	Inclusion
A18	A183	Tuberculosis de intestino delgado	Inclusion
A18	A183	Tuberculosis de intestino grueso	Inclusion
A18	A183	Tuberculosis retroperitoneal	Inclusion
A18	A183	Ascitis tuberculosa	Inclusion
A18	A183	Enteritis tuberculosa	Inclusion
A18	A183	Peritonitis tuberculosa	Inclusion
A18	A183	Tuberculosis de ganglios linfáticos	Inclusion
A18	A184	Tuberculosis de la piel y el tejido subcutáneo	Canonical
A18	A184	Eritema indurado tuberculoso	Inclusion
A18	A184	Escrofuloderma	Inclusion
A18	A184	Lupus exedens	Inclusion
A18	A184	Lupus vulgaris SAI	Inclusion
A18	A184	Lupus vulgaris del párpado	Inclusion
A18	A185	Tuberculosis del ojo	Canonical
A18	A185	Coriorretinitis tuberculosa	Inclusion
A18	A185	Epiescleritis tuberculosa	Inclusion
A18	A185	Iridociclitis tuberculosa	Inclusion
A18	A185	Queratitis intersticial tuberculosa	Inclusion
A18	A185	Queratoconjuntivitis flictenular tuberculosa	Inclusion
A18	A185	Queratoconjuntivitis intersticial tuberculosa	Inclusion
A18	A185	Queratoconjuntivitis tuberculosa	Inclusion
A18	A186	Tuberculosis del oído	Canonical
A18	A186	Otitis media tuberculosa	Inclusion
A18	A187	Tuberculosis de glándulas suprarrenales	Canonical
A18	A187	Enfermedad de Addison tuberculosa	Inclusion
A18	A188	Tuberculosis de otros órganos especificados	Canonical
A18	A188	Arteritis cerebral tuberculosa	Inclusion
A18	A188	Tuberculosis del endocardio	Inclusion
A18	A188	Tuberculosis del esófago	Inclusion
A18	A188	Tuberculosis de la glándula tiroides	Inclusion
A18	A188	Tuberculosis del miocardio	Inclusion
A18	A188	Tuberculosis del pericardio	Inclusion
A19	A190	Tuberculosis miliar aguda de un solo sitio especificado	Canonical
A19	A191	Tuberculosis miliar aguda de sitios múltiples	Canonical
A19	A192	Tuberculosis miliar aguda, no especificada	Canonical
A19	A198	Otras tuberculosis miliares	Canonical
A19	A199	Tuberculosis miliar, sin otra especificación	Canonical
A20	A200	Peste bubónica	Canonical
A20	A201	Peste celulocutánea	Canonical
A20	A202	Peste neumónica	Canonical
A20	A203	Meningitis por peste	Canonical
A20	A207	Peste septicémica	Canonical
A20	A208	Otras formas de peste	Canonical
A20	A208	Peste abortiva	Inclusion
A20	A208	Peste asintomática	Inclusion
A20	A208	Peste menor	Inclusion
A20	A209	Peste, no especificada	Canonical
A21	A210	Tularemia ulceroglandular	Canonical
A21	A211	Tularemia oculoglandular	Canonical
A21	A211	Tularemia oftálmica	Inclusion
A21	A212	Tularemia pulmonar	Canonical
A21	A213	Tularemia gastrointestinal	Canonical
A21	A213	Tularemia abdominal	Inclusion
A21	A217	Tularemia generalizada	Canonical
A21	A218	Otras formas de tularemia	Canonical
A21	A219	Tularemia, no especificada	Canonical
A22	A220	Carbunco cutáneo	Canonical
A22	A220	Carbunco maligno	Inclusion
A22	A220	Pústula maligna	Inclusion
A22	A221	Carbunco pulmonar	Canonical
A22	A221	Carbunco por inhalación	Inclusion
A22	A221	Enfermedad de los cardadores de lana	Inclusion
A22	A221	Enfermedad de los traperos (papeleros)	Inclusion
A22	A222	Carbunco gastrointestinal	Canonical
A22	A227	Carbunco septicémico	Canonical
A22	A228	Otras formas de carbunco	Canonical
A22	A228	Meningitis por carbunco	Inclusion
A22	A229	Carbunco, no especificado	Canonical
A23	A230	Brucelosis debida a Brucella melitensis	Canonical
A23	A231	Brucelosis debida a Brucella abortus	Canonical
A23	A232	Brucelosis debida a Brucella suis	Canonical
A23	A233	Brucelosis debida a Brucella canis	Canonical
A23	A238	Otras brucelosis	Canonical
A23	A239	Brucelosis, no especificada	Canonical
A24	A240	Muermo	Canonical
A24	A240	Infección debida a Pseudomonas mallei	Inclusion
A24	A240	Malleus	Inclusion
A24	A241	Melioidosis aguda y fulminante	Canonical
A24	A241	Melioidosis neumónica	Inclusion
A24	A241	Melioidosis septicémica	Inclusion
A24	A242	Melioidosis subaguda y crónica	Canonical
A24	A243	Otras melioidosis	Canonical
A24	A244		
Infección debida a Pseudomonas pseudomallei SAI	Inclusion		
A24	A244	Enfermedad de Whitmore	Inclusion
A24	A244	Melioidosis, no especificada	Canonical
A25	A250	Espirilosis	Canonical
A25	A250	Sodoku	Inclusion
A25	A251	Estreptobacilosis	Canonical
A25	A251	Eritema artrítico epidémico	Inclusion
A25	A251	Fiebre de Haverhill	Inclusion
A25	A251	Fiebre estreptobacilar por mordedura de rata	Inclusion
A25	A259	Fiebre por mordedura de rata, no especificada	Canonical
A26	A260	Erisipeloide cutáneo	Canonical
A26	A260	Eritema migrans	Inclusion
A26	A267	Septicemia por Erysipelothrix	Canonical
A26	A268	Otras formas de erisipeloide	Canonical
A26	A269	Erisipeloide, no especificada	Canonical
A27	A270	Leptospirosis icterohemorrágica	Canonical
A27	A270	Leptospirosis debida a Leptospira interrogans serotipo icterohemorrágico	Inclusion
A27	A278	Otras formas de leptospirosis	Canonical
A27	A279	Leptospirosis, no especificada	Canonical
A28	A280	Pasteurelosis	Canonical
A28	A281	Enfermedad por rasguño de gato	Canonical
A28	A281	Fiebre por rasguño de gato	Inclusion
A28	A282	Yersiniosis extraintestinal	Canonical
A28	A288	Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte	Canonical
A28	A289	Enfermedad zoonótica bacteriana, sin otra especificación	Canonical
A30	A300	Lepra indeterminada	Canonical
A30	A300	Lepra I	Inclusion
A30	A301	Lepra tuberculoide	Canonical
A30	A301	Lepra TT	Inclusion
A30	A302	Lepra tuberculoide limítrofe	Canonical
A30	A302	Lepra BT [tuberculoide, “borderline”]	Inclusion
A30	A303	Lepra limítrofe	Canonical
A30	A303	Lepra BB [“borderline”]	Inclusion
A30	A304	Lepra lepromatosa limítrofe	Canonical
A30	A304	Lepra BL [lepromatosa, “borderline”]	Inclusion
A30	A305	Lepra lepromatosa	Canonical
A30	A305	Lepra LL	Inclusion
A30	A308	Otras formas de lepra	Canonical
A30	A309	Lepra, no especificada	Canonical
A31	A310	Infecciones por micobacterias pulmonares	Canonical
A31	A310	Infección debida a Mycobacterium avium	Inclusion
A31	A310	Infección debida a Mycobacterium intracellulare (bacilo de Battey)	Inclusion
A31	A310	Infección debida a Mycobacterium kansasii	Inclusion
A31	A311	Infección cutánea por micobacterias	Canonical
A31	A311	Infección debida a Mycobacterium marinum	Inclusion
A31	A311	Infección debida a Mycobacterium ulcerans	Inclusion
A31	A311	Úlcera de Buruli	Inclusion
A31	A318	Otras infecciones por micobacterias	Canonical
A31	A319	Infección por micobacteria, no especificada	Canonical
A31	A319	Infección atípica por micobacteria SAI	Inclusion
A31	A319	Micobacteriosis SAI	Inclusion
A32	A320	Listeriosis cutánea	Canonical
A32	A321	Meningitis y meningoencefalitis listeriana	Canonical
A32	A321	Meningitis listeriana	Inclusion
A32	A321	Meningoencefalitis listeriana	Inclusion
A32	A327	Septicemia listeriana	Canonical
A32	A328	Arteritis cerebral listeriana	Inclusion
A32	A328	Endocarditis listeriana	Inclusion
A32	A328	Listeriosis oculoglandular	Inclusion
A32	A328	Otras formas de listeriosis	Canonical
A32	A329	Listeriosis, no especificada	Canonical
A36	A360	Difteria faríngea	Canonical
A36	A360	Angina membranosa diftérica	Inclusion
A36	A360	Difteria amigdalina	Inclusion
A36	A361	Difteria nasofaríngea	Canonical
A36	A362	Difteria laríngea	Canonical
A36	A362	Laringotraqueítis diftérica	Inclusion
A36	A363	Difteria cutánea	Canonical
A36	A368	Otras difterias	Canonical
A36	A368	Conjuntivitis diftérica	Inclusion
A36	A368	Miocarditis diftérica	Inclusion
A36	A368	Polineuritis diftérica	Inclusion
A36	A369	Difteria, no especificada	Canonical
A39	A390	Meningitis meningocócica	Canonical
A39	A391	Síndrome de Waterhouse-Friderichsen	Canonical
A39	A391	Adrenalitis hemorrágica meningocócica	Inclusion
A39	A391	Síndrome suprarrenal meningocócico	Inclusion
A39	A392	Meningococemia aguda	Canonical
A39	A393	Meningococemia crónica	Canonical
A39	A394	Meningococemia, no especificada	Canonical
A39	A394	Bacteriemia meningocócica SAI	Inclusion
A39	A395	Enfermedad cardíaca debida a meningococo	Canonical
A39	A395	Carditis SAI meningocócica	Inclusion
A39	A395	Endocarditis meningocócica	Inclusion
A39	A395	Miocarditis meningocócica	Inclusion
A39	A395	Pericarditis meningocócica	Inclusion
A39	A398	Otras formas de enfermedad meningocócica	Canonical
A39	A398	Artritis meningocócica	Inclusion
A39	A398	Artritis postmeningocócica	Inclusion
A39	A398	Conjuntivitis meningocócica	Inclusion
A39	A398	Encefalitis meningocócica	Inclusion
A39	A398	Neuritis retrobulbar meningocócica	Inclusion
A39	A399	Enfermedad meningocócica, no especificada	Canonical
A39	A399	Enfermedad meningocócica, SAI	Inclusion
A40	A400	Septicemia debida a estreptococo, grupo A	Canonical
A40	A401	Septicemia debida a estreptococo, grupo B	Canonical
A40	A402	Septicemia debida a estreptococo, grupo D	Canonical
A40	A403	Septicemia debida a Streptococcus pneumoniae	Canonical
A40	A403	Septicemia neumocócica	Inclusion
A40	A408	Otras septicemias estreptocócicas	Canonical
A40	A409	Septicemia estreptocócica, no especificada	Canonical
A41	A410	Septicemia debida a Staphylococcus aureus	Canonical
A41	A411	Septicemia debida a otro estafilococo especificado	Canonical
A41	A411	Septicemia debida a estafilococo coagulasa-negativo	Inclusion
A41	A412	Septicemia debida a estafilococo no especificado	Canonical
A41	A413	Septicemia debida a Haemophilus influenzae	Canonical
A41	A414	Septicemia debida a anaerobios	Canonical
A41	A415	Septicemia debida a otros organismos gramnegativos	Canonical
A41	A415	Septicemia gramnegativa SAI	Inclusion
A41	A418	Otras septicemias especificadas	Canonical
A41	A419	Choque séptico	Inclusion
A41	A419	Septicemia, no especificada	Canonical
A42	A420	Actinomicosis pulmonar	Canonical
A42	A421	Actinomicosis abdominal	Canonical
A42	A422	Actinomicosis cervicofacial	Canonical
A42	A427	Septicemia actinomicótica	Canonical
A42	A428	Otras formas de actinomicosis	Canonical
A42	A429	Actinomicosis, sin otra especificación	Canonical
A43	A430	Nocardiosis pulmonar	Canonical
A43	A431	Nocardiosis cutánea	Canonical
A43	A438	Otras formas de nocardiosis	Canonical
A43	A439	Nocardiosis, no especificada	Canonical
A44	A440	Bartonelosis sistémica	Canonical
A44	A440	Fiebre de La Oroya	Inclusion
A44	A441	Bartonelosis cutánea y mucocutánea	Canonical
A44	A441	Verruga peruana	Inclusion
A44	A448	Otras formas de bartonelosis	Canonical
A44	A449	Bartonelosis, no especificada	Canonical
A48	A480	Gangrena gaseosa	Canonical
A48	A480	Celulitis debida a Clostridium	Inclusion
A48	A480	Mionecrosis debida a Clostridium	Inclusion
A48	A481	Enfermedad de los legionarios	Canonical
A48	A482	Enfermedad de los legionarios no neumónica [fiebre de Pontiac]	Canonical
A48	A483	Síndrome del choque tóxico	Canonical
A48	A484	Fiebre purpúrica brasileña	Canonical
A48	A488	Infección sistémica debida a Haemophilus aegyptius	Inclusion
A49	A490	Infección estafilocócica, de sitio no especificado	Canonical
A49	A491	Infección estreptocócica, de sitio no especificado	Canonical
A49	A492	Infección por Haemophilus influenzae, de sitio no especificado	Canonical
A49	A493	Infección por micoplasma, de sitio no especificado	Canonical
A49	A498	Otras infecciones bacterianas, de sitio no especificado	Canonical
A49	A499	Bacteriemia SAI	Inclusion
A49	A499	Infección bacteriana, no especificada	Canonical
A50	A500	Sífilis congénita precoz, sintomática	Canonical
A50	A500	Faringitis sifilítica congénita precoz	Inclusion
A50	A500	Laringitis sifilítica congénita precoz	Inclusion
A50	A500	Neumonía sifilítica congénita precoz	Inclusion
A50	A500	Oculopatía sifilítica congénita precoz	Inclusion
A50	A500	Osteocondropatía sifilítica congénita precoz	Inclusion
A50	A500	Rinitis sifilítica congénita precoz	Inclusion
A50	A500	Sífilis congénita precoz cutánea	Inclusion
A50	A500	Sífilis congénita precoz mucocutánea	Inclusion
A50	A500	Sífilis congénita precoz visceral	Inclusion
A50	A501	Sífilis congénita precoz, latente	Canonical
A50	A501	Sífilis congénita sin manifestaciones clínicas, con reacción serológica positiva y prueba de líquido cefalorraquídeo negativa, antes de los dos años después del nacimiento.	Inclusion
A50	A502	Sífilis congénita precoz, sin otra especificación	Canonical
A50	A502	Sífilis congénita SAI, antes de los dos años después del nacimiento	Inclusion
A50	A503	Oculopatía sifilítica congénita tardía	Canonical
A50	A503	Oculopatía sifilítica congénita tardía NCOP	Inclusion
A50	A503	Queratitis intersticial sifilítica congénita tardía	Inclusion
A50	A504	Neurosífilis congénita tardía	Canonical
A50	A504	Neurosífilis juvenil	Inclusion
A50	A504	Demencia paralítica juvenil	Inclusion
A50	A504	Encefalitis sifilítica congénita tardía	Inclusion
A50	A504	Meningitis sifilítica congénita tardía	Inclusion
A50	A504	Neurosífilis taboparética juvenil	Inclusion
A50	A504	Paresia generalizada juvenil	Inclusion
A50	A504	Polineuropatía sifilítica congénita tardía	Inclusion
A50	A504	Tabes dorsal juvenil	Inclusion
A50	A505	Otras formas de sífilis congénita tardía, sintomática	Canonical
A50	A505	Articulaciones de Clutton	Inclusion
A50	A505	Artropatía sifilítica congénita tardía	Inclusion
A50	A505	Dientes de Hutchinson	Inclusion
A50	A505	Nariz sifilítica en silla de montar	Inclusion
A50	A505	Osteocondropatía sifilítica congénita tardía	Inclusion
A50	A505	Sífilis cardiovascular congénita tardía	Inclusion
A50	A505	Tríada de Hutchinson	Inclusion
A50	A506	Sífilis congénita tardía, latente	Canonical
A50	A506	Sífilis congénita sin manifestaciones clínicas, con reacción serológica positiva y prueba de líquido cefalorraquídeo negativa, dos o más años después del nacimiento.	Inclusion
A50	A507	Sífilis congénita tardía, sin otra especificación	Canonical
